Problem:    parte2
                                   0                          -0 
   203 asignacion_llamadas_part2[L4,D4]
                             -999250                          -0 
   204 asignacion_llamadas_part2[L4,D5]
                                   0                          -0 
   205 asignacion_llamadas_part2[L5,D1]
                                   0                          -0 
   206 asignacion_llamadas_part2[L5,D2]
                             -998885                          -0 
   207 asignacion_llamadas_part2[L5,D3]
                                   0                          -0 
   208 asignacion_llamadas_part2[L5,D4]
                                   0                          -0 
   209 asignacion_llamadas_part2[L5,D5]
                             -994500                          -0 
   210 asignacion_llamadas_part2[L6,D1]
                                   0                          -0 
   211 asignacion_llamadas_part2[L6,D2]
                                   0                          -0 
   212 asignacion_llamadas_part2[L6,D3]
                                   0                          -0 
   213 asignacion_llamadas_part2[L6,D4]
                                   0                          -0 
   214 asignacion_llamadas_part2[L6,D5]
                                   0                          -0 

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[L1,D1]     *              0             0               
     2 x[L1,D2]     *              0             0               
     3 x[L1,D3]     *              0             0               
     4 x[L1,D4]     *              0             0               
     5 x[L1,D5]     *              0             0               
     6 x[L2,D1]     *              0             0               
     7 x[L2,D2]     *              0             0               
     8 x[L2,D3]     *              0             0               
     9 x[L2,D4]     *           6750             0               
    10 x[L2,D5]     *              0             0               
    11 x[L3,D1]     *              0             0               
    12 x[L3,D2]     *           1214             0               
    13 x[L3,D3]     *           5400             0               
    14 x[L3,D4]     *              0             0               
    15 x[L3,D5]     *              0             0               
    16 x[L4,D1]     *           5000             0               
    17 x[L4,D2]     *           4171             0               
    18 x[L4,D3]     *              0             0               
    19 x[L4,D4]     *            750             0               
    20 x[L4,D5]     *              0             0               
    21 x[L5,D1]     *              0             0               
    22 x[L5,D2]     *           1115             0               
    23 x[L5,D3]     *              0             0               
    24 x[L5,D4]     *              0             0               
    25 x[L5,D5]     *           5500             0               
    26 x[L6,D1]     *              0             0               
    27 x[L6,D2]     *              0             0               
    28 x[L6,D3]     *              0             0               
    29 x[L6,D4]     *              0             0               
    30 x[L6,D5]     *              0             0               
    31 Loc_construidas[L4]
                    *              1             0             1 
    32 Loc_construidas[L5]
                    *              1             0             1 
    33 Loc_construidas[L6]
                    *              0             0             1 
    34 Loc_construidas[L2]
                    *              1             0             1 
    35 Loc_construidas[L3]
                    *              1             0             1 
    36 Loc_construidas[L1]
                    *              0             0             1 
    37 b1[L1,D1]    *              0             0             1 
    38 b1[L1,D2]    *              0             0             1 
    39 b1[L1,D3]    *              0             0             1 
    40 b1[L1,D4]    *              0             0             1 
    41 b1[L1,D5]    *              0             0             1 
    42 b1[L2,D1]    *              0             0             1 
    43 b1[L2,D2]    *              0             0             1 
    44 b1[L2,D3]    *              0             0             1 
    45 b1[L2,D4]    *              1             0             1 
    46 b1[L2,D5]    *              0             0             1 
    47 b1[L3,D1]    *              0             0             1 
    48 b1[L3,D2]    *              1             0             1 
    49 b1[L3,D3]    *              1             0             1 
    50 b1[L3,D4]    *              0             0             1 
    51 b1[L3,D5]    *              0             0             1 
    52 b1[L4,D1]    *              1             0             1 
    53 b1[L4,D2]    *              1             0             1 
    54 b1[L4,D3]    *              0             0             1 
    55 b1[L4,D4]    *              1             0             1 
    56 b1[L4,D5]    *              0             0             1 
    57 b1[L5,D1]    *              0             0             1 
    58 b1[L5,D2]    *              1             0             1 
    59 b1[L5,D3]    *              0             0             1 
    60 b1[L5,D4]    *              0             0             1 
    61 b1[L5,D5]    *              1             0             1 
    62 b1[L6,D1]    *              0             0             1 
    63 b1[L6,D2]    *              0             0             1 
    64 b1[L6,D3]    *              0             0             1 
    65 b1[L6,D4]    *              0             0             1 
    66 b1[L6,D5]    *              0             0             1 
    67 b2[D1]       *              0             0             1 
    68 b2[D2]       *              0             0             1 
    69 b2[D3]       *              0             0             1 
    70 b2[D4]       *              1             0             1 
    71 b2[D5]       *              0             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
